Player,Team, ,Kills,Deaths,Assists,KDA,DPM,GPM,Gold Earned,Hero damage dealt,Hero damage dealt as %,Turret damage dealt,Turrent damage dealt as %,Damage Received,Damage tanked as %,Hero Level,Games Played
Evilx.,Axis Esports,,3,6,12,2.5,1113.4,479.2,8042.5,19246.5,12.5,362.0,2,105006,35,13,2
Loong,Axis Esports,,3,5,13,2.9,2212.7,466.6,7773.5,36644.0,26.0,611.0,3,35862,12,13,2
Kid Meepo,Axis Esports,,4,5,5,2.0,928.6,520.1,8764.5,15756.0,10.5,747.0,4,52659,17,13,2
KaizerX,Axis Esports,,5,2,8,6.5,1871.6,671.0,11278.5,36073.0,19.0,4878.0,26,44923,16,14,2
Lacid,Axis Esports,,,,,,,,,,,,,,,,0
Rynn,Axis Esports,,10,5,7,3.0,3006.6,590.9,9809.0,55371.0,32.0,2906.0,16,61224,22,14,2
.Soul,EVOS SG,,13,21,32,2.3,1571.9,516.7,7750.6,22676.9,12.6,2645.4,12,52881,20,12,7
Fossa,EVOS SG,,26,13,35,5.4,3120.8,644.9,9613.1,49884.6,25.4,4001.9,34,38748,13,13,7
Pokemon,EVOS SG,,,,,,,,,,,,,,,,0
.JPL,EVOS SG,,10,17,46,3.9,1548.3,495.7,7492.7,24301.1,12.4,508.9,2,107066,34,12,7
OhDeerBambi,EVOS SG,,36,18,40,7.1,4447.6,672.8,9953.6,67153.4,33.1,7561.9,26,37495,11,13,7
LuN.,EVOS SG,,10,18,41,3.1,1996.3,512.6,7615.0,29124.3,16.1,2063.4,12,77999,22,12,7
Artz,Geek Fam,,10,21,36,2.6,1582.4,610.8,8439.8,22438.5,14.1,3765.4,14,65506,26,13,8
Dominus,Geek Fam,,22,21,50,3.6,2452.7,548.8,7579.0,34575.3,21.8,1502.5,10,27829,11,13,8
Xorn,Geek Fam,,4,21,62,4.0,1406.3,548.4,7580.8,19683.4,12.6,626.8,6,85108,35,13,8
Feekz,Geek Fam,,58,13,26,7.6,3606.9,887.8,12161.6,50892.0,31.9,10157.1,43,30456,12,15,8
OZORAVEKI,Geek Fam,,15,21,35,4.1,2046.0,600.5,8381.3,26719.3,19.3,3651.1,15,44006,16,13,8
Rumpel,Geek Fam,,,,,,,,,,,,,,,,0
Silo.,Orange Esports Reborn,,11,27,24,1.7,2150.8,598.9,8656.9,31184.8,19.9,1647.0,8,76256,29,13,9
Mom.,Orange Esports Reborn,,7,35,49,3.5,1636.1,516.3,7541.3,24914.9,14.2,1297.7,6,88996,34,13,9
Cakbu.,Orange Esports Reborn,,10,30,46,3.6,3332.9,512.9,7444.6,49299.7,29.1,1133.1,6,36441,14,13,9
Mal.,Orange Esports Reborn,,23,17,23,4.0,2057.9,704.4,10009.1,30883.8,18.1,11548.2,43,18451,7,14,9
Eren.,Orange Esports Reborn,,29,23,31,4.0,2181.9,703.3,10284.8,32525.0,19.0,5550.7,37,40207,16,14,9
Grengo.,Orange Esports Reborn,,,,,,,,,,,,,,,,0
Kayzeepi,Resurgence,,34,24,91,7.7,1810.7,568.0,8817.2,28206.6,13.7,977.5,4,94475,30,13,11
.Sana,Resurgence,,27,26,72,4.8,1710.1,632.4,9894.6,28167.9,13.0,3041.6,10,61151,20,14,11
Sync,Resurgence,,29,31,90,5.7,2653.9,592.9,9159.6,43012.2,20.0,2891.6,11,68171,23,14,11
·ly4ly4ly4,Resurgence,,71,17,82,10.3,4351.8,881.4,13833.3,71802.2,31.6,15411.3,63,38874,13,15,11
·Jason,Resurgence,,38,32,98,7.1,2946.2,582.1,9039.7,47473.1,21.3,1973.7,12,36403,13,13,11
XCP.,Resurgence,,,,,,,,,,,,,,,,0
Rush Makarov,Team Bosskurr,,,,,,,,,,,,,,,,0
2ez4Jepv,Team Bosskurr,,12,21,24,2.6,1299.5,502.3,8954.5,22299.2,13.5,417.8,3,138784,33,13,6
Leixia,Team Bosskurr,,29,14,25,4.6,3359.2,720.7,12828.3,64043.0,32.7,8108.2,39,49199,12,15,6
Zaraki,Team Bosskurr,,13,24,29,1.9,1457.4,554.3,10157.8,26422.0,15.0,3925.5,14,57446,17,14,6
Syno,Team Bosskurr,,10,19,23,1.8,1512.4,550.0,9884.3,30047.3,14.7,2524.8,33,123785,27,14,6
Logan,Team Bosskurr,,9,11,43,5.2,2610.0,506.4,8977.2,56068.8,24.0,1774.8,12,45557,11,13,6
Artha,Team SMG,,0,5,8,2.9,1383.2,436.3,5462.5,17658.5,17.5,589.5,13,74706,32,12,2
Kuku,Team SMG,,,,,,,,,,,,,,,,0
Ax,Team SMG,,0,5,7,1.5,811.6,435.8,5456.5,10228.0,11.0,382.5,8,64047,27,12,2
Tacuz,Team SMG,,1,4,6,2.2,1355.2,454.2,5686.5,17375.0,16.5,293.5,7,37467,16,12,2
Raisyaa,Team SMG,,9,5,5,3.0,2104.2,528.9,6622.5,26201.0,30.5,1053.0,23,33666,15,13,2
Smooth,Team SMG,,5,3,5,3.0,1697.9,564.7,7071.0,21160.5,24.5,2331.5,50,25518,11,13,2
Moonnnnnn,Todak,,10,13,34,4.9,2192.3,517.2,7673.2,38322.2,20.4,1249.2,5,29087,11,12,5
Cikuuuuu,Todak,,19,10,28,5.4,3337.2,753.0,11126.8,50175.8,33.2,8530.2,54,44168,14,14,5
Eoneeeeee,Todak,,8,9,36,7.2,1037.9,511.4,7645.8,13946.2,10.6,1356.0,5,77416,25,12,5
Xrayyyyyy,Todak,,8,20,18,1.9,1615.6,573.9,8472.6,25291.2,15.4,2673.4,29,70379,21,13,5
Nenassssss,Todak,,13,23,19,1.7,1968.6,577.1,8715.2,27647.4,20.4,2096.8,7,89782,29,12,5
Lycheeeeee,Todak,,,,,,,,,,,,,,,,0
