Player,Team, ,Kills,Deaths,Assists,KDA,DPM,GPM,Gold Earned,Hero damage dealt,Hero damage dealt as %,Turret damage dealt,Turrent damage dealt as %,Damage Received,Damage tanked as %,Hero Level,Games Played
Evilx.,Axis Esports,,14,47,112,3.4,1619.4,514.3,8397.3,24951.2,14.4,494.1,3,113715,36,13,19
Loong,Axis Esports,,48,50,91,3.6,2803.3,612.6,9586.1,46768.3,25.0,6689.0,35,35672,13,13,21
Kid Meepo,Axis Esports,,17,43,36,2.0,1477.2,492.1,7884.8,23417.2,14.4,899.5,8,67788,23,12,13
KaizerX,Axis Esports,,36,58,57,2.2,1423.4,547.6,8657.8,22069.7,13.7,1950.9,12,60320,20,13,21
Lacid,Axis Esports,,18,29,57,4.6,2947.6,506.6,7655.8,45487.8,28.2,528.7,4,36850,14,12,10
Rynn,Axis Esports,,87,44,67,4.4,2869.3,664.4,10773.6,47537.6,25.9,3867.3,33,36193,13,14,21
.Soul,EVOS SG,,40,49,92,4.0,1746.2,642.5,9653.6,26180.1,13.7,2191.7,7,83238,29,14,21
Fossa,EVOS SG,,90,20,99,9.0,4301.5,854.6,13399.4,70051.4,32.5,15708.6,56,31437,11,14,17
Pokemon,EVOS SG,,18,2,9,6.8,2686.4,862.2,11533.0,36905.3,24.3,16924.8,59,17314,8,15,4
.JPL,EVOS SG,,25,52,152,4.6,1233.2,579.1,8828.0,19839.3,9.7,1205.0,5,91495,31,13,21
OhDeerBambi,EVOS SG,,100,46,118,6.5,3673.9,713.6,10799.2,58974.9,28.4,6481.1,24,31757,12,14,21
LuN.,EVOS SG,,33,54,159,4.8,2215.8,612.6,9530.6,34987.7,17.2,1910.1,8,53913,18,14,21
Artz,Geek Fam,,44,42,95,3.7,1723.0,665.4,10311.7,27893.3,13.1,4139.5,14,70485,26,14,20
Dominus,Geek Fam,,88,42,150,8.5,2901.0,634.8,9758.0,43839.7,23.0,4388.9,15,34149,13,14,20
Xorn,Geek Fam,,44,46,204,7.6,2207.9,635.4,9827.7,33970.4,17.4,2246.3,8,81866,32,14,20
Feekz,Geek Fam,,112,21,87,11.7,4444.9,865.1,13672.9,72259.4,31.9,15426.1,51,28988,9,15,15
OZORAVEKI,Geek Fam,,61,29,149,7.6,2616.7,695.2,10252.8,39610.9,20.2,6681.7,23,45666,18,14,19
Rumpel,Geek Fam,,7,7,46,7.2,1507.0,615.4,9509.3,24898.5,11.8,2727.3,10,55078,17,13,6
Kolia,Notorious Villains,,26,100,122,2.7,1808.2,498.6,6922.0,25965.0,17.3,660.2,4,72053,23,12,21
Qiann.,Notorious Villains,,66,74,89,3.2,2665.4,648.2,8996.0,37334.0,25.1,5311.1,40,46891,14,14,21
